"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2338000","-","1249","Strata","06 to 10","1872","Jan-2021"
"2","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1589000","-","936","Strata","01 to 05","1697","Jan-2021"
"3","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","2517000","-","1302","Strata","01 to 05","1933","Jan-2021"
"4","DAIRY FARM RESIDENCES","DAIRY FARM LANE","Apartment","23","OCR","99 yrs lease commencing from 2018","New Sale","1","980000","-","624","Strata","01 to 05","1570","Jan-2021"
"5","FORETT AT BUKIT TIMAH","TOH TUCK ROAD","Apartment","21","RCR","Freehold","New Sale","1","1164000","-","570","Strata","06 to 10","2040","Jan-2021"
"6","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1557000","-","861","Strata","01 to 05","1808","Jan-2021"
"7","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1324000","-","753","Strata","06 to 10","1757","Jan-2021"
"8","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","1180000","-","689","Strata","16 to 20","1713","Jan-2021"
"9","MIDWOOD","HILLVIEW RISE","Condominium","23","OCR","99 yrs lease commencing from 2018","New Sale","1","793000","-","484","Strata","01 to 05","1637","Jan-2021"
"10","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1465000","-","861","Strata","01 to 05","1701","Jan-2021"
"11","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1240000","-","743","Strata","01 to 05","1670","Jan-2021"
"12","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1260000","-","743","Strata","01 to 05","1696","Jan-2021"
"13","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1294000","-","743","Strata","06 to 10","1742","Jan-2021"
"14","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1615000","-","861","Strata","06 to 10","1875","Jan-2021"
"15","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","2100000","-","1173","Strata","06 to 10","1790","Jan-2021"
"16","KI RESIDENCES AT BROOKVALE","BROOKVALE DRIVE","Condominium","21","OCR","999 yrs lease commencing from 1885","New Sale","1","1300000","-","753","Strata","01 to 05","1725","Jan-2021"
