quarter,type_of_sale,sale_status,units
2004-Q1,New Sale,Completed,98
2004-Q1,New Sale,Uncompleted,160
2004-Q1,Resale,na,310
2004-Q1,Sub Sale,na,10
2004-Q2,New Sale,Completed,143
2004-Q2,New Sale,Uncompleted,151
2004-Q2,Resale,na,314
2004-Q2,Sub Sale,na,21
2004-Q3,New Sale,Completed,88
2004-Q3,New Sale,Uncompleted,147
2004-Q3,Resale,na,386
2004-Q3,Sub Sale,na,13
2004-Q4,New Sale,Completed,77
2004-Q4,New Sale,Uncompleted,945
2004-Q4,Resale,na,382
2004-Q4,Sub Sale,na,14
2005-Q1,New Sale,Completed,84
2005-Q1,New Sale,Uncompleted,596
2005-Q1,Resale,na,356
2005-Q1,Sub Sale,na,29
2005-Q2,New Sale,Completed,98
2005-Q2,New Sale,Uncompleted,717
2005-Q2,Resale,na,441
2005-Q2,Sub Sale,na,38
2005-Q3,New Sale,Completed,109
2005-Q3,New Sale,Uncompleted,779
2005-Q3,Resale,na,669
2005-Q3,Sub Sale,na,48
2005-Q4,New Sale,Completed,168
2005-Q4,New Sale,Uncompleted,1134
2005-Q4,Resale,na,766
2005-Q4,Sub Sale,na,115
2006-Q1,New Sale,Completed,43
2006-Q1,New Sale,Uncompleted,385
2006-Q1,Resale,na,774
2006-Q1,Sub Sale,na,53
2006-Q2,New Sale,Completed,59
2006-Q2,New Sale,Uncompleted,691
2006-Q2,Resale,na,960
2006-Q2,Sub Sale,na,77
2006-Q3,New Sale,Completed,36
2006-Q3,New Sale,Uncompleted,1124
2006-Q3,Resale,na,796
2006-Q3,Sub Sale,na,232
2006-Q4,New Sale,Completed,37
2006-Q4,New Sale,Uncompleted,1757
2006-Q4,Resale,na,1114
2006-Q4,Sub Sale,na,401
2007-Q1,New Sale,Completed,18
2007-Q1,New Sale,Uncompleted,2055
2007-Q1,Resale,na,1214
2007-Q1,Sub Sale,na,475
2007-Q2,New Sale,Completed,63
2007-Q2,New Sale,Uncompleted,1196
2007-Q2,Resale,na,1816
2007-Q2,Sub Sale,na,1039
