"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","NA","5400","3500 to 4000","Dec-2020"
"2","ALANA","SUNRISE TERRACE","28","Terrace House","NA","6405","3000 to 3500","Dec-2020"
"3","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","NA","2850","1500 to 2000","Dec-2020"
"4","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Detached House","NA","13000","4000 to 4500","Dec-2020"
"5","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","NA","5300","2000 to 2500","Dec-2020"
"6","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","NA","4300","1500 to 2000","Dec-2020"
"7","CABANA","SUNRISE TERRACE","28","Terrace House","NA","5636","2500 to 3000","Dec-2020"
"8","ALANA","SUNRISE TERRACE","28","Terrace House","NA","7551","3000 to 3500","Dec-2020"
"9","STRATTON PARK","STRATTON PLACE","28","Terrace House","NA","3600","2000 to 2500","Dec-2020"
"10","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","NA","4400","3000 to 3500","Dec-2020"
"11","ESTE VILLA","NIM ROAD","28","Terrace House","NA","4800","3000 to 3500","Dec-2020"
"12","CABANA","SUNRISE TERRACE","28","Terrace House","NA","6073","3000 to 3500","Dec-2020"
"13","FLORIDA PARK","SUNRISE AVENUE","28","Semi-Detached House","NA","3800","3000 to 3500","Dec-2020"
"14","MUGLISTON HILL","MUGLISTON PARK","28","Semi-Detached House","NA","3050","2500 to 3000","Dec-2020"
"15","SELETAR HILLS ESTATE","JALAN LEKUB","28","Semi-Detached House","NA","2500","1000 to 1500","Dec-2020"
"16","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","NA","5300","3000 to 3500","Dec-2020"
"17","ESTE VILLA","NIM ROAD","28","Terrace House","NA","5000","3000 to 3500","Dec-2020"
"18","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4889","2500 to 3000","Dec-2020"
"19","STRATTON PARK","STRATTON DRIVE","28","Terrace House","NA","3100","2000 to 2500","Dec-2020"
"20","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","NA","4380","4000 to 4500","Dec-2020"
"21","SEMBAWANG GARDENS ARCADE","SEMBONG ROAD","27","Semi-Detached House","NA","2800","1000 to 1500","Dec-2020"
"22","LANDED HOUSING DEVELOPMENT","BEGONIA ROAD","28","Semi-Detached House","NA","5000","4500 to 5000","Dec-2020"
"23","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Semi-Detached House","NA","6000","2000 to 2500","Dec-2020"
"24","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","NA","6400","2000 to 2500","Dec-2020"
"25","SELETAR HILLS ESTATE","NERAM CRESCENT","28","Semi-Detached House","NA","4000","2000 to 2500","Dec-2020"
"26","STRATTON PARK","STRATTON DRIVE","28","Semi-Detached House","NA","5350","2500 to 3000","Dec-2020"
"27","LANDED HOUSING DEVELOPMENT","MIMOSA CRESCENT","28","Semi-Detached House","NA","5400","3000 to 3500","Dec-2020"
"28","LANDED HOUSING DEVELOPMENT","JALAN PELAJAU","28","Semi-Detached House","NA","4000","3000 to 3500","Dec-2020"
"29","LANDED HOUSING DEVELOPMENT","SELETAR CRESCENT","28","Semi-Detached House","NA","3800","2500 to 3000","Dec-2020"
"30","SEMBAWANG SPRINGS ESTATE","JALAN SERENGAM","27","Semi-Detached House","NA","3000","1000 to 1500","Dec-2020"
"31","FLORIDA PARK","SUNRISE WAY","28","Terrace House","NA","3600","1500 to 2000","Dec-2020"
"32","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","NA","4588","1500 to 2000","Dec-2020"
"33","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Terrace House","NA","5500","2000 to 2500","Dec-2020"
"34","LANDED HOUSING DEVELOPMENT","JALAN TARI PIRING","28","Terrace House","NA","2800","1500 to 2000","Dec-2020"
"35","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Detached House","NA","3900","3000 to 3500","Dec-2020"
"36","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4300","3000 to 3500","Dec-2020"
"37","GOODLINK PARK","GOODLINK PARK","27","Semi-Detached House","NA","3500","3000 to 3500","Nov-2020"
"38","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","NA","3800","2000 to 2500","Nov-2020"
"39","SEMBAWANG STRAITS ESTATE","JALAN SANKAM","27","Semi-Detached House","NA","3300","2000 to 2500","Nov-2020"
"40","ALANA","SUNRISE TERRACE","28","Terrace House","NA","6517","3000 to 3500","Nov-2020"
"41","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","NA","4500","1500 to 2000","Nov-2020"
"42","LANDED HOUSING DEVELOPMENT","JALAN LEKUB","28","Semi-Detached House","NA","4500","3000 to 3500","Nov-2020"
"43","LANDED HOUSING DEVELOPMENT","JALAN HIKAYAT","27","Detached House","NA","8000","5500 to 6000","Nov-2020"
"44","LILAC PARK","LILAC WALK","28","Terrace House","NA","3800","2000 to 2500","Nov-2020"
"45","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4889","3000 to 3500","Nov-2020"
"46","SEMBAWANG PARK","JALAN MATA AYER","27","Terrace House","NA","1750","1500 to 2000","Nov-2020"
"47","DEDAP GARDENS","DEDAP PLACE","28","Terrace House","NA","4700","3500 to 4000","Nov-2020"
"48","LANDED HOUSING DEVELOPMENT","YIO CHU KANG ROAD","28","Detached House","NA","5000","3000 to 3500","Nov-2020"
"49","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","NA","8000","3000 to 3500","Nov-2020"
