"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","TANGLIN REGENCY","TANGLIN ROAD","Condominium","10","CCR","99 yrs lease commencing from 1994","Resale","1","1570000","-","1109","Strata","01 to 05","1416","Jan-2021"
"2","RIVERGATE","ROBERTSON QUAY","Apartment","09","CCR","Freehold","Resale","1","2650000","-","1033","Strata","36 to 40","2564","Jan-2021"
"3","GRANGE RESIDENCES","GRANGE ROAD","Condominium","10","CCR","Freehold","Resale","1","7700000","-","2852","Strata","11 to 15","2699","Jan-2021"
"4","8 @ MOUNT SOPHIA","MOUNT SOPHIA","Condominium","09","CCR","103 yrs lease commencing from 2002","Resale","1","2180000","-","1464","Strata","01 to 05","1489","Jan-2021"
"5","GALLOP GABLES","FARRER ROAD","Condominium","10","CCR","Freehold","Resale","1","2070000","-","1163","Strata","01 to 05","1781","Jan-2021"
"6","THE TATE RESIDENCES","CLAYMORE ROAD","Condominium","09","CCR","Freehold","Resale","1","7950000","-","3208","Strata","06 to 10","2478","Jan-2021"
"7","BELMOND GREEN","BALMORAL ROAD","Condominium","10","CCR","Freehold","Resale","1","1995000","-","969","Strata","06 to 10","2059","Jan-2021"
"8","PINEWOOD GARDENS","BALMORAL PARK","Condominium","10","CCR","Freehold","Resale","1","3200000","-","1679","Strata","01 to 05","1906","Jan-2021"
"9","ASPEN HEIGHTS","RIVER VALLEY ROAD","Condominium","09","CCR","999 yrs lease commencing from 1841","Resale","1","2728000","-","1582","Strata","01 to 05","1724","Jan-2021"
"10","RV RESIDENCES","RIVER VALLEY ROAD","Condominium","10","CCR","999 yrs lease commencing from 1877","Resale","1","2328000","-","1216","Strata","06 to 10","1914","Jan-2021"
"11","ORCHARD VIEW","ANGULLIA PARK","Apartment","09","CCR","Freehold","Resale","1","6250000","-","2530","Strata","31 to 35","2471","Jan-2021"
"12","DEVONSHIRE RESIDENCES","DEVONSHIRE ROAD","Apartment","09","CCR","Freehold","Resale","1","1070000","-","506","Strata","01 to 05","2115","Jan-2021"
"13","MILL POINT","ZION CLOSE","Apartment","10","CCR","999 yrs lease commencing from 1877","Resale","1","975000","-","527","Strata","11 to 15","1849","Jan-2021"
"14","THE ASTON","KAY POH ROAD","Apartment","10","CCR","Freehold","Resale","1","1130000","-","657","Strata","01 to 05","1721","Jan-2021"
"15","ONE JERVOIS","JERVOIS CLOSE","Condominium","10","CCR","Freehold","Resale","1","2330000","-","1292","Strata","06 to 10","1804","Jan-2021"
"16","GOODWOOD GRAND","BALMORAL ROAD","Apartment","10","CCR","Freehold","Resale","1","2280000","-","893","Strata","06 to 10","2552","Jan-2021"
"17","SKYLINE 360 @ SAINT THOMAS WALK","ST. THOMAS WALK","Condominium","09","CCR","Freehold","Resale","1","4350000","-","2131","Strata","16 to 20","2041","Jan-2021"
"18","THE HERMITAGE","SARKIES ROAD","Apartment","10","CCR","Freehold","Resale","1","1520000","-","850","Strata","06 to 10","1787","Jan-2021"
"19","CAIRNHILL RESIDENCES","CAIRNHILL CIRCLE","Apartment","09","CCR","Freehold","Resale","1","2600000","-","1173","Strata","16 to 20","2216","Jan-2021"
"20","TANGLIN REGENCY","TANGLIN ROAD","Condominium","10","CCR","99 yrs lease commencing from 1994","Resale","1","1028000","-","710","Strata","06 to 10","1447","Jan-2021"
"21","THE TESSARINA","WILBY ROAD","Condominium","10","CCR","Freehold","Resale","1","1780000","-","990","Strata","06 to 10","1797","Jan-2021"
"22","CITY SQUARE RESIDENCES","KITCHENER LINK","Condominium","08","RCR","Freehold","Resale","1","1870000","-","1216","Strata","16 to 20","1537","Jan-2021"
"23","MILL POINT","ZION CLOSE","Apartment","10","CCR","999 yrs lease commencing from 1877","Resale","1","1765000","-","915","Strata","16 to 20","1929","Jan-2021"
"24","THE TWINS","BALMORAL CRESCENT","Apartment","10","CCR","Freehold","Resale","1","3680000","-","2260","Strata","06 to 10","1628","Jan-2021"
"25","ST REGIS RESIDENCES SINGAPORE","TANGLIN ROAD","Apartment","10","CCR","999 yrs lease commencing from 1995","Resale","1","11000000","-","4306","Strata","21 to 25","2555","Jan-2021"
"26","LEIGHWOODS","MOUNT SINAI RISE","Condominium","10","CCR","Freehold","Resale","1","3080000","-","2217","Strata","06 to 10","1389","Jan-2021"
"27","VANADIUM","HERTFORD ROAD","Apartment","08","RCR","Freehold","Resale","1","1468000","-","1130","Strata","01 to 05","1299","Jan-2021"
"28","HORIZON TOWERS","LEONIE HILL ROAD","Condominium","09","CCR","99 yrs lease commencing from 1979","Resale","1","3520000","-","2616","Strata","11 to 15","1346","Jan-2021"
"29","111 EMERALD HILL","EMERALD HILL ROAD","Apartment","09","CCR","Freehold","Resale","1","8500000","-","4650","Strata","11 to 15","1828","Jan-2021"
"30","PALM SPRING","EWE BOON ROAD","Condominium","10","CCR","Freehold","Resale","1","2648000","-","1496","Strata","06 to 10","1770","Jan-2021"
"31","VIDA","PECK HAY ROAD","Apartment","09","CCR","Freehold","Resale","1","1700000","-","861","Strata","01 to 05","1974","Jan-2021"
"32","TEXTILE CENTRE","JALAN SULTAN","Apartment","07","RCR","99 yrs lease commencing from 1970","Resale","1","880000","-","883","Strata","16 to 20","997","Jan-2021"
"33","D'LEEDON","LEEDON HEIGHTS","Condominium","10","CCR","99 yrs lease commencing from 2010","Resale","1","2850000","-","1615","Strata","31 to 35","1765","Jan-2021"
"34","LEEDON RESIDENCE","LEEDON HEIGHTS","Condominium","10","CCR","Freehold","Resale","1","4900000","-","2110","Strata","06 to 10","2323","Jan-2021"
