"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","THOMSON 800","THOMSON ROAD","Condominium","11","CCR","Freehold","Resale","1","2470000","-","1625","Strata","11 to 15","1520","Jan-2021"
"2","THE SUNNY SPRING","LORONG 40 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","1390000","-","1195","Strata","06 to 10","1163","Jan-2021"
"3","VISTA RESIDENCES","JALAN DATOH","Condominium","12","RCR","Freehold","Resale","1","1800000","-","1195","Strata","06 to 10","1507","Jan-2021"
"4","TIERRA VUE","ST. PATRICK'S ROAD","Condominium","15","OCR","Freehold","Resale","1","3000000","-","2260","Strata","01 to 05","1327","Jan-2021"
"5","PARK EAST","JALAN TUA KONG","Condominium","15","OCR","Freehold","Resale","1","2175000","-","1690","Strata","01 to 05","1287","Jan-2021"
"6","PINEHURST CONDOMINIUM","LORONG L TELOK KURAU","Condominium","15","OCR","Freehold","Resale","1","1050000","-","926","Strata","01 to 05","1134","Jan-2021"
"7","BLOSSOMS @ WOODLEIGH","WOODLEIGH CLOSE","Condominium","13","RCR","Freehold","Resale","1","2100000","-","1410","Strata","06 to 10","1489","Jan-2021"
"8","CENTRAL GROVE","GEYLANG EAST AVENUE 1","Condominium","14","RCR","99 yrs lease commencing from 1997","Resale","1","1288000","-","1206","Strata","16 to 20","1068","Jan-2021"
"9","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","1800000","-","1206","Strata","01 to 05","1493","Jan-2021"
"10","NEPTUNE COURT","MARINE VISTA","Apartment","15","OCR","99 yrs lease commencing from 1975","Resale","1","1438000","-","1636","Strata","06 to 10","879","Jan-2021"
"11","833 M B RESIDENCES","MOUNTBATTEN ROAD","Apartment","15","RCR","Freehold","Resale","1","820000","-","538","Strata","01 to 05","1524","Jan-2021"
"12","L'VIV","NEWTON ROAD","Apartment","11","CCR","Freehold","Resale","1","1340000","-","657","Strata","21 to 25","2041","Jan-2021"
"13","WAI WING CENTRE","BALESTIER ROAD","Apartment","12","RCR","Freehold","Resale","1","1280000","-","1292","Strata","06 to 10","991","Jan-2021"
"14","SUITES @ SHREWSBURY","SHREWSBURY ROAD","Apartment","11","CCR","Freehold","Resale","1","579000","-","334","Strata","01 to 05","1735","Jan-2021"
"15","MEIER SUITES","MARGATE ROAD","Condominium","15","RCR","Freehold","Resale","1","3838000","-","2228","Strata","16 to 20","1723","Jan-2021"
"16","AALTO","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","3950000","-","1959","Strata","06 to 10","2016","Jan-2021"
"17","THE SEAFRONT ON MEYER","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2860000","-","1615","Strata","11 to 15","1771","Jan-2021"
"18","AMARYLLIS VILLE","NEWTON ROAD","Condominium","11","CCR","99 yrs lease commencing from 1997","Resale","1","2010000","-","1238","Strata","11 to 15","1624","Jan-2021"
"19","LAGUNA PARK","MARINE PARADE ROAD","Apartment","15","OCR","99 yrs lease commencing from 1977","Resale","1","1600000","-","1453","Strata","11 to 15","1101","Jan-2021"
"20","STARVILLE","LENGKONG TIGA","Condominium","14","OCR","Freehold","Resale","1","1280000","-","1216","Strata","11 to 15","1052","Jan-2021"
"21","VACANZA @ EAST","LENGKONG TUJOH","Condominium","14","OCR","Freehold","Resale","1","835000","-","732","Strata","01 to 05","1141","Jan-2021"
"22","SANCTUARY GREEN","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1997","Resale","1","1630000","-","1399","Strata","01 to 05","1165","Jan-2021"
"23","EIGHT RIVERSUITES","WHAMPOA EAST","Condominium","12","RCR","99 yrs lease commencing from 2011","Resale","1","725000","-","441","Strata","11 to 15","1643","Jan-2021"
"24","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1788000","-","883","Strata","06 to 10","2026","Jan-2021"
"25","THE MAKENA","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2550000","-","1636","Strata","16 to 20","1559","Jan-2021"
"26","THE SEAWIND","LORONG M TELOK KURAU","Condominium","15","OCR","Freehold","Resale","1","1396000","-","936","Strata","01 to 05","1491","Jan-2021"
"27","KIM KEAT LODGE","KIM KEAT ROAD","Apartment","12","RCR","Freehold","Resale","1","1470000","-","1378","Strata","06 to 10","1067","Jan-2021"
"28","PASADENA","DERBYSHIRE ROAD","Apartment","11","CCR","Freehold","Resale","1","2200000","-","2702","Strata","16 to 20","814","Jan-2021"
"29","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","969000","-","667","Strata","11 to 15","1452","Jan-2021"
"30","SIGLAP V","FIRST STREET","Apartment","15","OCR","Freehold","Resale","1","800000","-","570","Strata","01 to 05","1402","Jan-2021"
"31","GUILLEMARD VIEW","GUILLEMARD ROAD","Apartment","14","RCR","Freehold","Resale","1","1068000","-","1163","Strata","01 to 05","919","Jan-2021"
"32","SIMS DORADO","LORONG 39 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","980000","-","861","Strata","01 to 05","1138","Jan-2021"
"33","KATONG REGENCY","TANJONG KATONG ROAD","Apartment","15","RCR","Freehold","Resale","1","1088999","-","710","Strata","06 to 10","1533","Jan-2021"
"34","AMBER SKYE","AMBER ROAD","Apartment","15","RCR","Freehold","Resale","1","2900000","-","1335","Strata","11 to 15","2173","Jan-2021"
"35","SIGLAP V","FIRST STREET","Apartment","15","OCR","Freehold","Resale","1","580000","-","452","Strata","01 to 05","1283","Jan-2021"
"36","RIVEREDGE","SAMPAN PLACE","Condominium","15","RCR","99 yrs lease commencing from 2004","Resale","1","2328800","-","1593","Strata","06 to 10","1462","Jan-2021"
"37","SIMS URBAN OASIS","SIMS DRIVE","Condominium","14","RCR","99 yrs lease commencing from 2014","Resale","1","750000","-","474","Strata","01 to 05","1584","Jan-2021"
"38","EDENZ SUITES","LORONG 28 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","620000","-","495","Strata","01 to 05","1252","Jan-2021"
"39","THE LINE @ TANJONG RHU","TANJONG RHU ROAD","Condominium","15","RCR","Freehold","Resale","1","2557440","-","1184","Strata","11 to 15","2160","Jan-2021"
"40","SILVERSEA","MARINE PARADE ROAD","Condominium","15","RCR","99 yrs lease commencing from 2007","Resale","1","3100000","-","1690","Strata","11 to 15","1834","Jan-2021"
"41","SIMSVILLE","GEYLANG EAST AVENUE 2","Condominium","14","RCR","99 yrs lease commencing from 1994","Resale","1","1000000","-","980","Strata","01 to 05","1021","Jan-2021"
"42","TANJONG RIA CONDOMINIUM","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1993","Resale","1","1335000","-","1206","Strata","01 to 05","1107","Jan-2021"
"43","THE LINE @ TANJONG RHU","TANJONG RHU ROAD","Condominium","15","RCR","Freehold","Resale","1","2235000","-","1055","Strata","11 to 15","2119","Jan-2021"
"44","SKY@ELEVEN","THOMSON LANE","Condominium","11","CCR","Freehold","Resale","1","4503888","-","2713","Strata","11 to 15","1660","Jan-2021"
"45","PROSPERO VILLE","LORONG K TELOK KURAU","Apartment","15","OCR","Freehold","Resale","1","1040000","-","1076","Strata","01 to 05","966","Jan-2021"
"46","SUITES @ SIMS","SIMS AVENUE","Apartment","14","RCR","Freehold","Resale","1","530000","-","355","Strata","01 to 05","1492","Jan-2021"
"47","AIRSTREAM","ST. MICHAEL'S ROAD","Apartment","12","RCR","Freehold","Resale","1","658000","-","495","Strata","01 to 05","1329","Jan-2021"
"48","MODA","EAST COAST ROAD","Apartment","15","RCR","Freehold","Resale","1","1600000","-","969","Strata","06 to 10","1652","Jan-2021"
"49","CENTRA LOFT","LORONG 35 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","663000","-","484","Strata","01 to 05","1369","Jan-2021"
"50","ONE LEICESTER","LEICESTER ROAD","Condominium","13","RCR","Freehold","Resale","1","1200000","-","915","Strata","11 to 15","1312","Jan-2021"
"51","PEBBLE BAY","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1994","Resale","1","2630000","-","1894","Strata","06 to 10","1388","Jan-2021"
"52","NEWTON ONE","NEWTON ROAD","Condominium","11","CCR","Freehold","Resale","1","5080000","-","2411","Strata","26 to 30","2107","Jan-2021"
"53","BLU CORAL","LORONG L TELOK KURAU","Condominium","15","OCR","Freehold","Resale","1","1803400","-","2099","Strata","01 to 05","859","Jan-2021"
