S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,778000,-,743,Strata,21 to 25,1048,Jan-21
2,CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,1292500,-,1528,Strata,01 to 05,846,Jan-21
3,THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 yrs lease commencing from 2009,Resale,1,880000,-,883,Strata,01 to 05,997,Jan-21
4,YISHUN SAPPHIRE,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 1998,Resale,1,880000,-,1206,Strata,06 to 10,730,Jan-21
5,MEADOWS @ PEIRCE,UPPER THOMSON ROAD,Condominium,26,OCR,Freehold,Resale,1,2424000,-,2594,Strata,01 to 05,934,Jan-21
6,NIM GARDENS,NIM ROAD,Condominium,28,OCR,Freehold,Resale,1,1700000,-,1830,Strata,06 to 10,929,Jan-21
7,THE CALROSE,YIO CHU KANG ROAD,Condominium,26,OCR,Freehold,Resale,1,1435000,-,1098,Strata,01 to 05,1307,Jan-21
8,H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 yrs lease commencing from 2010,Resale,1,1270000,-,1195,Strata,01 to 05,1063,Jan-21
9,EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 yrs lease commencing from 2010,Resale,1,560000,-,452,Strata,06 to 10,1239,Jan-21
10,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 yrs lease commencing from 2014,Resale,1,582000,-,452,Strata,01 to 05,1287,Jan-21
11,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,498000,-,431,Strata,01 to 05,1157,Jan-21
