"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","1140000","-","1044","Strata","16 to 20","1092","Jan-2021"
"2","THE GREENWICH","SELETAR ROAD","Condominium","28","OCR","99 yrs lease commencing from 2009","Resale","1","866244","-","883","Strata","01 to 05","981","Jan-2021"
"3","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","850000","-","1152","Strata","11 to 15","738","Jan-2021"
"4","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","778000","-","743","Strata","21 to 25","1048","Jan-2021"
"5","CANBERRA RESIDENCES","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","1292500","-","1528","Strata","01 to 05","846","Jan-2021"
"6","THE GREENWICH","SELETAR ROAD","Condominium","28","OCR","99 yrs lease commencing from 2009","Resale","1","880000","-","883","Strata","01 to 05","997","Jan-2021"
"7","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","880000","-","1206","Strata","06 to 10","730","Jan-2021"
"8","NIM GARDENS","NIM ROAD","Condominium","28","OCR","Freehold","Resale","1","1700000","-","1830","Strata","06 to 10","929","Jan-2021"
"9","H2O RESIDENCES","FERNVALE LINK","Condominium","28","OCR","99 yrs lease commencing from 2010","Resale","1","1270000","-","1195","Strata","01 to 05","1063","Jan-2021"
"10","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","582000","-","452","Strata","01 to 05","1287","Jan-2021"
"11","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","1120000","-","1324","Strata","01 to 05","846","Jan-2021"
"12","EIGHT COURTYARDS","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","560000","-","452","Strata","06 to 10","1239","Jan-2021"
"13","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","940000","-","1195","Strata","11 to 15","787","Jan-2021"
"14","SUNRISE GARDENS","SUNRISE AVENUE","Condominium","28","OCR","99 yrs lease commencing from 1995","Resale","1","1088000","-","1464","Strata","01 to 05","743","Jan-2021"
"15","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","930000","-","990","Strata","01 to 05","939","Jan-2021"
"16","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","735000","-","570","Strata","06 to 10","1288","Jan-2021"
"17","EIGHT COURTYARDS","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","820000","-","861","Strata","06 to 10","952","Jan-2021"
"18","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","1043000","-","980","Strata","01 to 05","1065","Jan-2021"
"19","THE MILTONIA RESIDENCES","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2010","Resale","1","828000","-","861","Strata","01 to 05","962","Jan-2021"
"20","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","1050000","-","850","Strata","21 to 25","1235","Jan-2021"
"21","NIM GARDENS","NIM ROAD","Condominium","28","OCR","Freehold","Resale","1","1660000","-","1830","Strata","06 to 10","907","Jan-2021"
"22","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","1580000","-","2067","Strata","01 to 05","765","Dec-2020"
"23","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","1200000","-","1378","Strata","01 to 05","871","Dec-2020"
"24","GRANDE VISTA","CACTUS DRIVE","Condominium","28","OCR","999 yrs lease commencing from 1886","Resale","1","1420000","-","1367","Strata","01 to 05","1039","Dec-2020"
"25","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","980000","-","1302","Strata","01 to 05","752","Dec-2020"
"26","THE ESTUARY","YISHUN AVENUE 1","Condominium","27","OCR","99 yrs lease commencing from 2008","Resale","1","590000","-","592","Strata","01 to 05","997","Dec-2020"
"27","SKIES MILTONIA","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1180000","-","1130","Strata","11 to 15","1044","Dec-2020"
"28","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","1172000","-","1496","Strata","01 to 05","783","Dec-2020"
"29","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","958000","-","872","Strata","01 to 05","1099","Dec-2020"
"30","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","920000","-","1152","Strata","11 to 15","799","Dec-2020"
"31","HIGH PARK RESIDENCES","FERNVALE ROAD","Apartment","28","OCR","99 yrs lease commencing from 2014","Resale","1","762000","-","581","Strata","11 to 15","1311","Dec-2020"
"32","THE NAUTICAL","JALAN SENDUDOK","Condominium","27","OCR","99 yrs lease commencing from 2011","Resale","1","988888","-","1119","Strata","01 to 05","883","Dec-2020"
"33","SKIES MILTONIA","MILTONIA CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2012","Resale","1","1120000","-","1076","Strata","11 to 15","1041","Dec-2020"
"34","SYMPHONY SUITES","YISHUN CLOSE","Condominium","27","OCR","99 yrs lease commencing from 2014","Resale","1","731000","-","689","Strata","01 to 05","1061","Dec-2020"
"35","SELETAR SPRINGS CONDOMINIUM","GERALD DRIVE","Condominium","28","OCR","99 yrs lease commencing from 1997","Resale","1","1420000","-","2077","Strata","01 to 05","684","Dec-2020"
"36","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","1268888","-","1044","Strata","16 to 20","1215","Dec-2020"
"37","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","835000","-","1206","Strata","06 to 10","693","Dec-2020"
"38","NORTHWOOD","JALAN MATA AYER","Condominium","27","OCR","Freehold","Resale","1","1638888","-","1991","Strata","01 to 05","823","Dec-2020"
"39","THE ESTUARY","YISHUN AVENUE 1","Condominium","27","OCR","99 yrs lease commencing from 2008","Resale","1","645000","-","592","Strata","11 to 15","1089","Dec-2020"
"40","SELETAR PARK RESIDENCE","SELETAR ROAD","Condominium","28","OCR","99 yrs lease commencing from 2011","Resale","1","1215000","-","1507","Strata","01 to 05","806","Dec-2020"
"41","EUPHONY GARDENS","JALAN MATA AYER","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","1100000","-","2196","Strata","01 to 05","501","Dec-2020"
"42","SUNRISE GARDENS","SUNRISE AVENUE","Condominium","28","OCR","99 yrs lease commencing from 1995","Resale","1","1450000","-","2034","Strata","01 to 05","713","Dec-2020"
"43","RIVERTREES RESIDENCES","FERNVALE CLOSE","Apartment","28","OCR","99 yrs lease commencing from 2013","Resale","1","748000","-","581","Strata","11 to 15","1287","Dec-2020"
"44","THE SENSORIA","JALAN ULU SEMBAWANG","Condominium","27","OCR","Freehold","Resale","1","1758000","-","2282","Strata","01 to 05","770","Dec-2020"
"45","SELETARIS","SEMBAWANG ROAD","Condominium","27","OCR","Freehold","Resale","1","1720000","-","1981","Strata","01 to 05","868","Dec-2020"
"46","ORCHID PARK CONDOMINIUM","YISHUN STREET 81","Condominium","27","OCR","99 yrs lease commencing from 1991","Resale","1","848000","-","1141","Strata","06 to 10","743","Dec-2020"
"47","RIVERBANK @ FERNVALE","FERNVALE CLOSE","Condominium","28","OCR","99 yrs lease commencing from 2013","Resale","1","1430000","-","1238","Strata","06 to 10","1155","Dec-2020"
"48","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","728000","-","958","Strata","11 to 15","760","Dec-2020"
"49","YISHUN EMERALD","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","1038000","-","1378","Strata","06 to 10","753","Dec-2020"
"50","YISHUN SAPPHIRE","CANBERRA DRIVE","Condominium","27","OCR","99 yrs lease commencing from 1998","Resale","1","910000","-","1216","Strata","06 to 10","748","Dec-2020"
