"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","TWIN REGENCY","KIM TIAN ROAD","Condominium","03","RCR","Freehold","Resale","1","2250000","-","1216","Strata","31 to 35","1850","Jan-2021"
"2","SPOTTISWOODE 18","SPOTTISWOODE PARK ROAD","Apartment","02","RCR","Freehold","Resale","1","825000","-","388","Strata","06 to 10","2129","Jan-2021"
"3","HUNDRED TREES","WEST COAST DRIVE","Condominium","05","OCR","956 yrs lease commencing from 1928","Resale","1","2200000","-","1475","Strata","11 to 15","1492","Jan-2021"
"4","PRINCIPAL GARDEN","PRINCE CHARLES CRESCENT","Condominium","03","RCR","99 yrs lease commencing from 2014","Resale","1","1630000","-","861","Strata","16 to 20","1893","Jan-2021"
"5","REGENT PARK","JALAN LEMPENG","Condominium","05","OCR","99 yrs lease commencing from 1993","Resale","1","905000","-","958","Strata","01 to 05","945","Jan-2021"
"6","MARINA BAY RESIDENCES","MARINA BOULEVARD","Condominium","01","CCR","99 yrs lease commencing from 2005","Resale","1","1410000","-","710","Strata","36 to 40","1985","Jan-2021"
"7","THE INTERLACE","DEPOT ROAD","Condominium","04","RCR","99 yrs lease commencing from 2009","Resale","1","5880000","-","5920","Strata","21 to 25","993","Jan-2021"
"8","BLUE HORIZON","WEST COAST CRESCENT","Condominium","05","OCR","99 yrs lease commencing from 2000","Resale","1","1300000","-","1163","Strata","16 to 20","1118","Jan-2021"
"9","BLUE HORIZON","WEST COAST CRESCENT","Condominium","05","OCR","99 yrs lease commencing from 2000","Resale","1","935000","-","936","Strata","06 to 10","998","Jan-2021"
"10","REFLECTIONS AT KEPPEL BAY","KEPPEL BAY VIEW","Condominium","04","RCR","99 yrs lease commencing from 2006","Resale","1","3098888","-","1970","Strata","16 to 20","1573","Jan-2021"
"11","SEAHILL","WEST COAST CRESCENT","Condominium","05","OCR","99 yrs lease commencing from 2011","Resale","1","1500000","-","1130","Strata","21 to 25","1327","Jan-2021"
"12","MARINA ONE RESIDENCES","MARINA WAY","Apartment","01","CCR","99 yrs lease commencing from 2011","Resale","1","4446714","-","1582","Strata","21 to 25","2810","Jan-2021"
"13","ONE SHENTON","SHENTON WAY","Apartment","01","CCR","99 yrs lease commencing from 2005","Resale","1","1638000","-","1130","Strata","21 to 25","1449","Jan-2021"
"14","PARC RIVIERA","WEST COAST VALE","Condominium","05","OCR","99 yrs lease commencing from 2015","Resale","1","1275000","-","990","Strata","06 to 10","1288","Jan-2021"
"15","THE SORRENTO","WEST COAST ROAD","Condominium","05","OCR","Freehold","Resale","1","743000","-","441","Strata","01 to 05","1684","Jan-2021"
"16","SEAHILL","WEST COAST CRESCENT","Condominium","05","OCR","99 yrs lease commencing from 2011","Resale","1","1420000","-","1130","Strata","06 to 10","1256","Jan-2021"
"17","CARIBBEAN AT KEPPEL BAY","KEPPEL BAY DRIVE","Condominium","04","RCR","99 yrs lease commencing from 1999","Resale","1","1790000","-","1281","Strata","01 to 05","1397","Jan-2021"
"18","REFLECTIONS AT KEPPEL BAY","KEPPEL BAY VIEW","Condominium","04","RCR","99 yrs lease commencing from 2006","Resale","1","2475000","-","1399","Strata","26 to 30","1769","Jan-2021"
"19","THE MAYLEA","PASIR PANJANG ROAD","Condominium","05","RCR","Freehold","Resale","1","1385000","-","1001","Strata","01 to 05","1384","Jan-2021"
"20","REGENT PARK","JALAN LEMPENG","Condominium","05","OCR","99 yrs lease commencing from 1993","Resale","1","980000","-","958","Strata","06 to 10","1023","Jan-2021"
"21","HUNDRED TREES","WEST COAST DRIVE","Condominium","05","OCR","956 yrs lease commencing from 1928","Resale","1","1035000","-","786","Strata","06 to 10","1317","Jan-2021"
"22","CLEMENTIWOODS CONDOMINIUM","WEST COAST ROAD","Condominium","05","OCR","99 yrs lease commencing from 2006","Resale","1","1788000","-","1658","Strata","01 to 05","1079","Jan-2021"
"23","PARC RIVIERA","WEST COAST VALE","Condominium","05","OCR","99 yrs lease commencing from 2015","Resale","1","720000","-","463","Strata","31 to 35","1556","Jan-2021"
